Time (s),AuNP-Ab_-Laser_sig,AuNP-Ab_-Laser_err,AuNP-MAB3949_- Laser_sig,AuNP-MAB3949_- Laser_err,AuNP-Ab_+Laser_sig,AuNP-Ab_+Laser_err,AuNP-MAB3949_+Laser_sig,AuNP-MAB3949_+Laser_err
0,0.00487,0.01141,0.00748,0.00348,-0.00101,0.01264,0.00496,0.01727
9,-0.00129,0.00794,0.00177,0.01003,-0.00104,0.01387,-0.0015,0.01918
18,0.00713,0.0118,0.00112,0.00617,0.00503,0.01517,-0.00402,0.01371
27,0.00574,0.01115,-0.0052,0.0086,0.00259,0.01204,0.00173,0.01042
36,0.00389,0.00742,-5.60E-04,0.01075,-6.98E-04,0.01133,0.0039,0.00886
45,-0.00374,0.01203,3.95E-05,0.00835,0.00752,0.01066,-0.00317,0.02329
54,-0.00373,0.0175,0.00907,0.00742,0.0033,0.01219,0.00351,0.00858
63,-0.00325,0.00963,-0.00144,0.01068,0.00283,0.00583,0.00454,0.01861
72,-7.57E-04,0.01109,-8.80E-04,0.00429,-8.41E-04,0.01154,0.0166,0.00746
81,-0.00426,0.0076,-0.00499,0.00202,0.0027,0.01151,0.00348,0.02063
90,-0.00436,0.01022,-0.00861,0.00376,-9.54E-04,0.0138,0.01609,0.03626
99,-0.00619,0.01196,0.00327,0.00809,-0.00254,0.01485,-0.01061,0.00543
108,-0.0033,0.01174,0.00267,0.00854,-0.00354,0.00898,0.00165,0.01111
117,-0.00478,0.00737,-0.00218,0.00441,0.00222,0.01112,0.00609,0.00929
126,0.00696,0.00868,-0.0049,0.0106,0.00112,0.00981,0.00526,0.0221
135,0.00144,0.00858,0.00248,0.01861,-0.00446,0.01313,-0.01218,0.01405
144,0.00818,0.00984,0.00403,0.01092,-0.00349,0.01016,-0.01935,0.03198
153,-7.24E-04,0.01088,-0.00373,0.00763,-1.76E-04,0.00719,0.00465,0.01695
162,0.00822,0.01001,0.00234,0.00829,-6.09E-04,0.01236,0.00183,0.01815
171,-0.00714,0.01306,0.00121,0.00382,-0.00302,0.00565,-0.00968,0.01715
180,-9.97E-04,0.00699,-0.00177,0.00963,-0.00314,0.01064,-0.01163,0.01384
190,0.28977,0.11816,0.29779,0.11722,0.28414,0.07878,0.07644,0.09591
199,0.40493,0.03082,0.40668,0.08601,0.42005,0.04869,0.08668,0.09467
208,0.35067,0.06701,0.41601,0.0328,0.36041,0.08747,0.05955,0.09674
217,0.29952,0.05881,0.37687,0.01781,0.30245,0.08237,0.01507,0.0969
226,0.26705,0.04836,0.36061,0.0189,0.28363,0.06522,0.01965,0.07537
235,0.26866,0.03487,0.35044,0.01763,0.27434,0.0619,0.02896,0.06621
244,0.26593,0.03259,0.331,0.01811,0.28064,0.05817,0.00668,0.08696
253,0.26945,0.02051,0.32841,0.02525,0.27568,0.0595,0.00889,0.06886
262,0.27169,0.01496,0.32885,0.01641,0.28091,0.03987,0.01733,0.07942
271,0.2525,0.02243,0.33855,0.033,0.27839,0.06637,-0.00377,0.07774
280,0.25837,0.02837,0.32639,0.02064,0.27243,0.05139,-0.00383,0.05981
289,0.24315,0.02878,0.32218,0.03691,0.26678,0.06497,-0.00526,0.08163
298,0.24853,0.03178,0.31586,0.02565,0.25128,0.05565,-0.00649,0.0817
307,0.22658,0.03233,0.30053,0.01385,0.26107,0.05266,-0.00823,0.07409
316,0.23232,0.03457,0.27946,0.01251,0.25353,0.06244,-0.01616,0.06787
325,0.22727,0.02872,0.28596,0.01094,0.25516,0.06317,-0.01344,0.0789
334,0.233,0.02804,0.2859,0.01665,0.25003,0.04441,-0.02727,0.08717
343,0.21805,0.02508,0.28137,0.01006,0.23814,0.04781,-0.02707,0.06784
352,0.21762,0.01698,0.27569,0.01222,0.23781,0.0493,-0.01391,0.08465
361,0.21619,0.0178,0.26067,0.01197,0.22781,0.05989,-0.03703,0.06941
370,0.21236,0.018,0.24644,0.01808,0.22347,0.04875,-0.02971,0.06234
379,0.20218,0.02388,0.26839,0.03022,0.22519,0.05271,-0.03467,0.08141
388,0.20587,0.01746,0.25087,0.01292,0.21888,0.04631,-0.02388,0.07064
397,0.20214,0.01741,0.23729,0.02461,0.21806,0.04325,-0.02493,0.08064
406,0.19648,0.02075,0.23107,0.01861,0.21625,0.04208,-0.04206,0.06701
415,0.1941,0.02391,0.2228,0.02266,0.20276,0.04892,-0.02076,0.03632
424,0.19177,0.01459,0.20796,0.01961,0.20237,0.04352,-0.03089,0.06135
